Species,Strain,Tissue,Cell Type,Recommended Capsid
Mouse,129S1/SvlmJ,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.AX with GRE or transgenic animal
Mouse,BALB/cJ,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.eC with GRE or transgenic animal
Mouse,C57BL/6J,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.AX with GRE or transgenic animal
Mouse,CBA/J,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.eC with GRE or transgenic animal
Mouse,DBA/1J,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.AX with GRE or transgenic animal
Mouse,DBA/2J,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.AX with GRE or transgenic animal
Rat,Fischer,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Mouse,FVB/NJ,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.AX with GRE or transgenic animal
Rat,Long-Evans,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Mouse,LP/J,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.AX with GRE or transgenic animal
Macaque,Not Applicable,Brain,Astrocytes,Most potent for the desired cell type(s): AAV.MaCPNS1 with GRE
Macaque,Not Applicable,Brain,Astrocytes,Most potent for the desired cell type(s) alternative: AAV.MaCPNS2 with GRE
Marmoset,Not Applicable,Brain,Astrocytes,Most potent for the desired cell type(s): AAV.CAP-B22 with GRE
Mouse,MOLF/EiJ,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.AX with GRE or transgenic animal
Mouse,NOD/ShiLtJ,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.eC with GRE or transgenic animal
Rat,Shaker,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Rat,Sprague Dawley,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Rat,Wistar,Brain,Astrocytes,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Mouse,129S1/SvlmJ,Brain,Broad,Expanded cell type coverage: AAV-PHP.AX
Mouse,129S1/SvlmJ,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Mouse,BALB/cJ,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eC
Mouse,C57BL/6J,Brain,Broad,Expanded cell type coverage: AAV-PHP.AX
Mouse,C57BL/6J,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Mouse,CBA/J,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eC
Mouse,DBA/1J,Brain,Broad,Expanded cell type coverage: AAV-PHP.AX
Mouse,DBA/1J,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Mouse,DBA/2J,Brain,Broad,Expanded cell type coverage: AAV-PHP.AX
Mouse,DBA/2J,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Rat,Fischer,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Mouse,FVB/NJ,Brain,Broad,Expanded cell type coverage: AAV-PHP.AX
Mouse,FVB/NJ,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Rat,Long-Evans,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Mouse,LP/J,Brain,Broad,Expanded cell type coverage: AAV-PHP.AX
Mouse,LP/J,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Macaque,Not Applicable,Brain,Broad,Most potent for the desired cell type(s): AAV.MaCPNS1
Macaque,Not Applicable,Brain,Broad,Most potent for the desired cell type(s) alternative: AAV.MaCPNS2
Marmoset,Not Applicable,Brain,Broad,Most potent for the desired cell type(s): AAV.CAP-B22
Mouse,MOLF/EiJ,Brain,Broad,Expanded cell type coverage: AAV-PHP.AX
Mouse,MOLF/EiJ,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Mouse,NOD/ShiLtJ,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eC
Rat,Shaker,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Rat,Sprague Dawley,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Rat,Wistar,Brain,Broad,Most potent for the desired cell type(s): AAV-PHP.eB
Mouse,BALB/cJ,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV-PHP.eC with GRE or transgenic animal
Mouse,CBA/J,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV-PHP.eC with GRE or transgenic animal
Rat,Fischer,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Rat,Long-Evans,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Macaque,Not Applicable,Brain,Neurons - broad,Most specific for the desired cell type(s): AAV.CAP-Mac
Macaque,Not Applicable,Brain,Neurons - broad,Most specific for the desired cell type(s) alternative: AAV9-X1.1
Macaque,Not Applicable,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV.CAP-Mac
Macaque,Not Applicable,Brain,Neurons - broad,Most potent for the desired cell type(s) alternative: AAV9-X1.1
Marmoset,Not Applicable,Brain,Neurons - broad,Most specific for the desired cell type(s): AAV.CAP-B10
Marmoset,Not Applicable,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV.CAP-B10
Mouse,NOD/ShiLtJ,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV-PHP.eC with GRE or transgenic animal
Rat,Shaker,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Rat,Sprague Dawley,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Rat,Wistar,Brain,Neurons - broad,Most potent for the desired cell type(s): AAV-PHP.eB with GRE
Macaque,Not Applicable,Brain,Neurons - NHP subtype specific,Most specific for the desired cell type(s): AAV.CAP-Mac with GRE
Macaque,Not Applicable,Brain,Neurons - NHP subtype specific,Most specific for the desired cell type(s) alternative: AAV9-X1.1 with GRE
Macaque,Not Applicable,Brain,Neurons - NHP subtype specific,Most potent for the desired cell type(s): AAV.CAP-Mac
